round,query,query_started_at,query_ended_at,total_query_sec,fetch_live_sec,queue_count_sec,sleep_sec,created_count,queue_before,queue_after,api_network_calls,api_cache_hits
"1","citizen nb1050 watch","2026-02-26T07:28:47Z","2026-02-26T07:28:51Z","3.3129","0.0489","3.2639","0.8","0","2","2","5","1"
"1","g-shock gw9400 watch","2026-02-26T07:28:52Z","2026-02-26T07:30:50Z","118.263","116.5116","1.7514","0.8","0","2","2","7","1"
"1","casio gmw-b5000 watch","2026-02-26T07:30:51Z","2026-02-26T07:32:57Z","126.5083","124.9096","1.5987","0.8","0","2","2","5","2"
"1","casio mtg-b2000 watch","2026-02-26T07:32:58Z","2026-02-26T07:34:48Z","109.7903","108.1802","1.61","0.8","0","2","2","6","2"
"1","seiko spb121 watch","2026-02-26T07:34:49Z","2026-02-26T07:36:15Z","86.1","84.4891","1.6109","0.8","0","2","2","5","3"
"1","seiko snxs79 watch","2026-02-26T07:36:15Z","2026-02-26T07:37:45Z","89.9811","88.3819","1.5992","0.8","0","2","2","6","3"
"1","citizen at8185 watch","2026-02-26T07:37:46Z","2026-02-26T07:39:11Z","84.6557","83.0213","1.6343","0.8","0","2","2","4","3"
"1","citizen cb0261 watch","2026-02-26T07:39:12Z","2026-02-26T07:40:29Z","77.3633","75.5674","1.7958","0.8","0","2","2","3","3"
"1","citizen bn0156 watch","2026-02-26T07:40:30Z","2026-02-26T07:41:54Z","84.1241","82.4143","1.7098","0.8","0","2","2","4","3"
"1","citizen tsuyosa nj015 watch","2026-02-26T07:41:55Z","2026-02-26T07:44:11Z","136.5514","134.9403","1.611","0.8","0","2","2","3","3"
"1","hamilton h70455533 watch","2026-02-26T07:44:12Z","2026-02-26T07:45:13Z","61.1761","59.5004","1.6758","0.8","0","2","2","6","0"
"1","casio ocw-t200 watch","2026-02-26T07:45:14Z","2026-02-26T07:46:43Z","88.9649","87.3601","1.6048","0.8","0","2","2","4","2"
"1","casio gw-5000u-1jf watch","2026-02-26T07:46:44Z","2026-02-26T07:48:08Z","84.1783","82.5388","1.6395","0.8","0","2","2","4","2"
"1","orient ra-aa0810n watch","2026-02-26T07:48:09Z","2026-02-26T07:49:30Z","81.3378","79.1756","2.1622","0.8","0","2","2","5","2"
"1","tissot prx t137407 watch","2026-02-26T07:49:31Z","2026-02-26T07:50:33Z","62.1102","60.495","1.6152","0.8","0","2","2","6","0"
"1","casio gwm5610-1jf watch","2026-02-26T07:50:34Z","2026-02-26T07:52:26Z","109.0311","107.3987","1.6324","0.8","0","2","2","5","2"
"1","casio ga-b2100 watch","2026-02-26T07:52:27Z","2026-02-26T07:54:18Z","111.1235","108.6093","2.5141","0.8","0","2","2","6","1"
"1","seiko sbga211 watch","2026-02-26T07:54:19Z","2026-02-26T07:55:37Z","78.3412","76.2938","2.0473","0.8","0","2","2","6","1"
"1","seiko ssc813 watch","2026-02-26T07:55:38Z","2026-02-26T07:57:07Z","88.7858","87.1385","1.6473","0.8","0","2","2","7","0"
"1","orient rn-aa0001b watch","2026-02-26T07:57:07Z","2026-02-26T07:58:45Z","97.3909","95.8004","1.5905","0.8","0","2","2","8","0"
"1","seiko spb143 watch","2026-02-26T07:58:46Z","2026-02-26T08:00:25Z","99.9117","98.2153","1.6964","0.8","0","2","2","8","0"
"1","orient fac00009n watch","2026-02-26T08:00:26Z","2026-02-26T08:01:54Z","87.6454","86.0161","1.6292","0.8","0","2","2","7","0"
"1","seiko sbdc101 watch","2026-02-26T08:01:55Z","2026-02-26T08:03:16Z","81.1207","79.4403","1.6804","0.8","0","2","2","8","0"
"2","g-shock gw9400 watch","2026-02-26T08:03:17Z","2026-02-26T08:03:18Z","1.7835","0.0722","1.7112","0.8","0","2","2","7","1"
